id,text,TG1,TG2,TG3,TG4,TGAvg,TGVar,TF1,TF2,TF3,TF4,TFAvg,TFVar,TD1,TD2,TD3,TD4,TDAvg,TDVar,Keywords,Language,SelfOpinion,SystemNamed,MakerNamed,MetricNamed,ComponentNamed,URL,Quantification,SourceCode,Perplexity,StyleAppropriateness,TrigramRecoveredInformation,TrigramSourceInformation,TrigramRecoveryRate,AffinityRate
25,"A reverse dictionary takes descriptions of words as input and outputs words semantically matching the input descriptions. Reverse dictionaries have great practical value such as solving the tip-of-the-tongue problem and helping new language learners. There have been some online reverse dictionary systems, but they support English reverse dictionary queries only and their performance is far from perfect. In this paper, we present a new open-source online reverse dictionary system named WantWords (https://wantwords.thunlp.org/). It not only significantly outperforms other reverse dictionary systems on English reverse dictionary performance, but also supports Chinese and English-Chinese as well as Chinese-English cross-lingual reverse dictionary queries for the first time. Moreover, it has user-friendly front-end design which can help users find the words they need quickly and easily. All the code and data are available at https://github.com/thunlp/WantWords.",5,5,4,5,4.75,0.25,2,2,2,1,1.75,0.25,2,2,3,2,2.25,0.25,ReverseDictionary LanguageLearning,Chinese English,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,13.75,-0.407035112,3293.397392,62415.09681,0.052766038,0.57324441
26,"Despite the current diversity and inclusion initiatives in the academic community, researchers with a non-native command of English still face significant obstacles when writing papers in English. This paper presents the Langsmith editor, which assists inexperienced, non-native researchers to write English papers, especially in the natural language processing (NLP) field. Our system can suggest fluent, academic-style sentences to writers based on their rough, incomplete phrases or sentences. The system also encourages interaction between human writers and the computerized revision system. The experimental results demonstrated that Langsmith helps non-native English-speaker students write papers in English. The system is available at https://emnlp-demo.editor. langsmith.co.jp/.",4,3,5,5,4.25,0.916666667,2,2,2,1,1.75,0.25,1,1,2,2,1.5,0.333333333,Writing WritingAid Science NLP,English,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26.2,-0.334391832,1104.087716,81822.43947,0.013493703,0.554813061
27,"Legal Tech is developed to help people with legal services and solve legal problems via machines. To achieve this, one of the key requirements for machines is to utilize legal knowledge and comprehend legal context. This can be fulfilled by natural language processing (NLP) techniques, for instance, text representation, text categorization, question answering (QA) and natural language inference, etc. To this end, we introduce a freely available Chinese Legal Tech system (IFlyLegal) that benefits from multiple NLP tasks. It is an integrated system that performs legal consulting, multi-way law searching, and legal document analysis by exploiting techniques such as deep contextual representations and various attention mechanisms. To our knowledge, IFlyLegal is the first Chinese legal system that employs up-to-date NLP techniques and caters for needs of different user groups, such as lawyers, judges, procurators, and clients. Since Jan, 2019, we have gathered 2,349 users and 28,238 page views (till June, 23, 2019).",3,5,4,4,4,0.666666667,3,3,3,2,2.75,0.25,2,2,2,2,2,0,Legal Search Analysis,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25.7,-0.550449133,1243.308423,56008.70912,0.022198484,0.568153263
28,"In this paper, we demonstrate an Interactive Machine Translation interface, that assists human translators with on-the-fly hints and suggestions. This makes the end-to-end translation process faster, more efficient and creates high-quality translations. We augment the OpenNMT backend with a mechanism to accept the user input and generate conditioned translations.",3,2,3,3,2.75,0.25,2,1,2,3,2,0.666666667,2,2,1,2,1.75,0.25,Translation,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26.28,-0.636835098,1400.049192,56958.01156,0.024580373,0.551123072
29,"Massive Open Online Courses (MOOCs) have developed rapidly and attracted large number of learners. In this work, we present MAssistant system, a personal knowledge assistant for MOOC learners. MAssistant helps users to trace the concepts they have learned in MOOCs, and to build their own concept graphs. There are three key components in MAssistant: (i) a large-scale concept graph built from open data sources, which contains concepts in various domains and relations among them; (ii) a browser extension which interacts with learners when they are watching video lectures, and presents important concepts to them; (iii) a web application allowing users to explore their personal concept graphs, which are built based on their learning activities on MOOCs. MAssistant will facilitate the knowledge management task for MOOC learners, and make the learning on MOOCs easier.",5,4,4,4,4.25,0.25,4,1,4,4,3.25,2.25,2,1,2,3,2,0.666666667,MOOC Education KnowledgeGraph,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13.46,-0.396630764,3423.234935,45680.84924,0.074938076,0.62475487
30,"An interface for building, improving and customising a given Named Entity Recognition and Linking (NER+L) model for biomedical domain text, and the efficient collation of accurate research use case specific training data and subsequent model training. Screencast demo available here: https://www.youtube.com/watch?v=lM914DQjvSo",1,2,2,2,1.75,0.25,2,2,1,3,2,0.666666667,1,2,2,3,2,0.666666667,Medical NER,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,49.98,-0.573933125,923.6154422,57789.27587,0.015982471,0.553891045
31,"We demonstrate a conversational system which engages the user through a multi-modal, multi-turn dialog over the user's memories. The system can perform QA over memories by responding to user queries to recall specific attributes and associated media (e.g. photos) of past episodic memories. The system can also make proactive suggestions to surface related events or facts from past memories to make conversations more engaging and natural. To implement such a system, we collect a new corpus of memory grounded conversations, which comprises human-to-human role-playing dialogs given synthetic memory graphs with simulated attributes. Our proof-of-concept system operates on these synthetic memory graphs, however it can be trained and applied to real-world user memory data (e.g. photo albums, etc.) We present the architecture of the proposed conversational system, and example queries that the system supports.",3,2,2,3,2.5,0.333333333,2,2,2,3,2.25,0.25,4,2,3,3,3,0.666666667,Memory Chat,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.81,-0.506092787,1323.483518,52524.12524,0.025197631,0.607805793
32,"We present a novel system providing summaries for Computer Science publications. Through a qualitative user study, we identified the most valuable scenarios for discovery, exploration and understanding of scientific documents. Based on these findings, we built a system that retrieves and summarizes scientific documents for a given information need, either in form of a free-text query or by choosing categorized values such as scientific tasks, datasets and more. Our system ingested 270,000 papers, and its summarization module aims to generate concise yet detailed summaries. We validated our approach with human experts.",4,4,2,4,3.5,1,3,3,2,4,3,0.666666667,4,3,3,2,3,0.666666667,Science Summary CS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,41.71,-0.55571866,2515.856808,60980.42884,0.041256791,0.580719992
33,"We introduce Tanbih, a news aggregator with intelligent analysis tools to help readers understanding what's behind a news story. Our system displays news grouped into events and generates media profiles that show the general factuality of reporting, the degree of propagandistic content, hyper-partisanship, leading political ideology, general frame of reporting, and stance with respect to various claims and topics of a news outlet. In addition, we automatically analyse each article to detect whether it is propagandistic and to determine its stance with respect to a number of controversial topics.",4,5,4,4,4.25,0.25,3,1,2,1,1.75,0.916666667,2,2,1,2,1.75,0.25,News Summary,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34.13,-0.26621747,1538.19647,58290.44714,0.026388483,0.547709733
34,"Language technologies play a key role in assisting people with their writing. Although there has been steady progress in e.g., grammatical error correction (GEC), human writers are yet to benefit from this progress due to the high development cost of integrating with writing software. We propose TEASPN, a protocol and an open-source framework for achieving integrated writing assistance environments. The protocol standardizes the way writing software communicates with servers that implement such technologies, allowing developers and researchers to integrate the latest developments in natural language processing (NLP) with low cost. As a result, users can enjoy the integrated experience in their favorite writing software. The results from experiments with human participants show that users use a wide range of technologies and rate their writing experience favorably, allowing them to write more fluent text.",4,2,3,3,3,0.666666667,2,2,2,1,1.75,0.25,2,2,2,2,2,0,Writing WritingAid Framework,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.57,-0.264363766,786.9093468,57932.00905,0.013583326,0.568409514
35,"We present a writing prototype feedback system, TellMeWhy, to provide explanations of errors in submitted essays. In our approach, the sentence with corrections is analyzed to identify error types and problem words, aimed at customizing explanations based on the context of the error. The method involves learning the relation of errors and problem words, generating common feedback patterns, and extracting grammar patterns, collocations and example sentences. At run-time, a sentence with corrections is classified, and the problem word and template are identified to provide detailed explanations. Preliminary evaluation shows that the method has potential to improve existing commercial writing services.",4,2,3,4,3.25,0.916666667,4,4,4,4,4,0,1,2,2,2,1.75,0.25,Writing WritingAid,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.56,-0.309006453,2648.394072,63039.51654,0.042011649,0.58820798
36,"In this paper, we present Par4Sem, a semantic writing aid tool based on adaptive paraphrasing. Unlike many annotation tools that are primarily used to collect training examples, Par4Sem is integrated into a real word application, in this case a writing aid tool, in order to collect training examples from usage data. Par4Sem is a tool, which supports an adaptive, iterative, and interactive process where the underlying machine learning models are updated for each iteration using new training examples from usage data. After motivating the use of ever-learning tools in NLP applications, we evaluate Par4Sem by adopting it to a text simplification task through mere usage.",2,3,2,3,2.5,0.333333333,2,1,3,2,2,0.666666667,2,3,2,4,2.75,0.916666667,Writing WritingAid,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30.9,-0.504175186,1362.499828,52345.17238,0.02602914,0.604873534
37,"In times of fake news and alternative facts, pro and con arguments on controversial topics are of increasing importance. Recently, we presented args.me as the first search engine for arguments on the web. In its initial version, args.me ranked arguments solely by their relevance to a topic queried for, making it hard to learn about the diverse topical aspects covered by the search results. To tackle this shortcoming, we integrated a visualization interface for result exploration in args.me that provides an instant overview of the main aspects in a barycentric coordinate system. This topic space is generated ad-hoc from controversial issues on Wikipedia and argument-specific LDA models. In two case studies, we demonstrate how individual arguments can be found easily through interactions with the visualization, such as highlighting and filtering.",4,4,4,5,4.25,0.25,3,4,2,3,3,0.666666667,4,4,3,2,3.25,0.916666667,Debate Search,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,36.71,-0.300957441,1456.707445,54489.84961,0.026733556,0.584460626
38,"We introduce an advanced information extraction pipeline to automatically process very large collections of unstructured textual data for the purpose of investigative journalism. The pipeline serves as a new input processor for the upcoming major release of our New/s/leak 2.0 software, which we develop in cooperation with a large German news organization. The use case is that journalists receive a large collection of files up to several Gigabytes containing unknown contents. Collections may originate either from official disclosures of documents, e.g. Freedom of Information Act requests, or unofficial data leaks.",4,3,1,3,2.75,1.583333333,2,2,1,2,1.75,0.25,4,5,5,3,4.25,0.916666667,News Search Extraction,German,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32.81,-0.115818977,2387.92904,60689.83592,0.039346441,0.54718366
39,"This paper describes PizzaPal, a voice-only agent for ordering pizza, as well as the Conversational AI architecture built at b4.ai. Based on the principles of high-density conversational AI, it supports natural and flexible interactions through neural conversational language understanding, robust dialog state tracking, and hierarchical task decomposition.",4,4,3,3,3.5,0.333333333,3,2,2,2,2.25,0.25,2,2,2,2,2,0,Pizza Chat,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61.9,-0.708768129,1265.962736,51961.18478,0.024363623,0.536939309
40,"We present an online interactive tool that generates titles of blog titles and thus take the first step toward automating science journalism. Science journalism aims to transform jargon-laden scientific articles into a form that the common reader can comprehend while ensuring that the underlying meaning of the article is retained. In this work, we present a tool, which, given the title and abstract of a research paper will generate a blog title by mimicking a human science journalist. The tool makes use of a model trained on a corpus of 87,328 pairs of research papers and their corresponding blogs, built from two science news aggregators. The architecture of the model is a two-stage mechanism which generates blog titles. Evaluation using standard metrics indicate the viability of the proposed system.",5,3,5,4,4.25,0.916666667,1,1,2,2,1.5,0.333333333,4,4,4,4,4,0,Science Summary,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25.34,-0.518677711,1996.759547,51534.75501,0.038745882,0.5666685
41,"We present MoodSwipe, a soft keyboard that suggests text messages given the user-specified emotions utilizing the real dialog data. The aim of MoodSwipe is to create a convenient user interface to enjoy the technology of emotion classification and text suggestion, and at the same time to collect labeled data automatically for developing more advanced technologies. While users select the MoodSwipe keyboard, they can type as usual but sense the emotion conveyed by their text and receive suggestions for their message as a benefit. In MoodSwipe, the detected emotions serve as the medium for suggested texts, where viewing the latter is the incentive to correcting the former. We conduct several experiments to show the superiority of the emotion classification models trained on the dialog data, and further to verify good emotion cues are important context for text suggestion.",4,3,3,4,3.5,0.333333333,3,2,3,2,2.5,0.333333333,4,3,3,4,3.5,0.333333333,Affective,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45.79,-0.257439375,3462.06231,63525.54949,0.054498739,0.593103276
42,"We present a novel interactive summarization system that is based on abstractive summarization, derived from a recent consolidated knowledge representation for multiple texts. We incorporate a couple of interaction mechanisms, providing a bullet-style summary while allowing to attain the most important information first and interactively drill down to more specific details. A usability study of our implementation, for event news tweets, suggests the utility of our approach for text exploration.",3,1,2,3,2.25,0.916666667,2,2,2,3,2.25,0.25,3,2,1,2,2,0.666666667,Summary News Tweets,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66.72,-0.621744633,2364.540594,62222.26461,0.038001519,0.559582237
43,"Nowadays, we are surrounded by more and more online news articles. Tens or hundreds of news articles need to be read if we wish to explore a hot news event or topic. So it is of vital importance to automatically synthesize a batch of news articles related to the event or topic into a new synthesis article (or overview article) for reader's convenience. It is so challenging to make news synthesis fully automatic that there is no successful solution by now. In this paper, we put forward a novel Interactive News Synthesis system (i.e. INS), which can help generate news overview articles automatically or by interacting with users. More importantly, INS can serve as a tool for editors to help them finish their jobs. In our experiments, INS performs well on both topic representation and synthesis article generation. A user study also demonstrates the usefulness and users' satisfaction with the INS tool. A demo video is available at https://youtu.be/7ItteKW3GEk.",5,3,5,5,4.5,1,3,2,1,2,2,0.666666667,2,2,2,2,2,0,News Summary,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,21.68,-0.322256327,1931.628767,55773.4454,0.034633485,0.554947669
44,"We present FAKTA which is a unified framework that integrates various components of a fact-checking process: document retrieval from media sources with various types of reliability, stance detection of documents with respect to given claims, evidence extraction, and linguistic analysis. FAKTA predicts the factuality of given claims and provides evidence at the document and sentence level to explain its predictions.",2,3,4,3,3,0.666666667,4,2,2,2,2.5,1,1,1,2,2,1.5,0.333333333,FactCheck Explain,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.78,-0.932069778,2107.424541,56861.22797,0.037062593,0.553160708
45,"In this paper, we introduce iComposer, an interactive web-based songwriting system designed to assist human creators by greatly simplifying music production. iComposer automatically creates melodies to accompany any given text. It also enables users to generate a set of lyrics given arbitrary melodies. iComposer is based on three sequence-to-sequence models, which are used to predict melody, rhythm, and lyrics, respectively. Songs generated by iComposer are compared with human-composed and randomly-generated ones in a subjective test, the experimental results of which demonstrate the capability of the proposed system to write pleasing melodies and meaningful lyrics at a level similar to that of humans.",4,4,3,5,4,0.666666667,2,2,3,3,2.5,0.333333333,4,3,3,2,3,0.666666667,Art Song Generation,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16.66,-0.450842857,2251.841994,38004.03165,0.059252713,0.568387936
46,"Story composition is a challenging problem for machines and even for humans. We present a neural narrative generation system that interacts with humans to generate stories. Our system has different levels of human interaction, which enables us to understand at what stage of story-writing human collaboration is most productive, both to improving story quality and human engagement in the writing process. We compare different varieties of interaction in story-writing, story-planning, and diversity controls under time constraints, and show that increased types of human collaboration at both planning and writing stages results in a 10-50 improvement in story quality as compared to less interactive baselines. We also show an accompanying increase in user engagement and satisfaction with stories as compared to our own less interactive systems and to previous turn-taking approaches to interaction. Finally, we find that humans tasked with collaboratively improving a particular characteristic of a story are in fact able to do so, which has implications for future uses of human-in-the-loop systems.",4,3,2,5,3.5,1.666666667,3,1,4,2,2.5,1.666666667,2,1,2,3,2,0.666666667,Art Story Generation,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25.95,-0.422514915,1206.360856,70412.49403,0.017132767,0.556629354
47,"Expert finding is the task of ranking persons for a predefined topic or search query. Finding experts for a specified area is an important task and has attracted much attention in the information retrieval community. Most approaches for this task are evaluated in a supervised fashion, which depend on predefined topics of interest as well as gold standard expert rankings. Famous representatives of such datasets are enriched versions of DBLP provided by the ArnetMiner projet or the W3C Corpus of TREC. However, manually ranking experts can be considered highly subjective and detailed rankings are hardly distinguishable. Evaluating these datasets does not necessarily guarantee a good or bad performance of the system. Particularly for dynamic systems, where topics are not predefined but formulated as a search query, we believe a more informative approach is to perform user studies for directly comparing different methods in the same view. In order to accomplish this in a user-friendly way, we present the LT Expert Finder web-application, which is equipped with various query-based expert finding methods that can be easily extended, a detailed expert profile view, detailed evidence in form of relevant documents and statistics, and an evaluation component that allows the qualitative comparison between different rankings.",2,4,5,4,3.75,1.583333333,3,1,4,3,2.75,1.583333333,3,2,4,3,3,0.666666667,Expert InformationRetrieval Search Science,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,43.79,-0.47695899,1364.692272,59496.78123,0.022937245,0.587164728
48,"Legal litigation planning can benefit from statistics collected from past decisions made by judges. Information on the typical duration for a submitted motion, for example, can give valuable clues for developing a successful strategy. Such information is encoded in semi-structured documents called dockets. In order to extract and aggregate this information, we deployed various information extraction and machine learning techniques. The aggregated data can be queried in real time within the Westlaw Edge search engine. In addition to a keyword search for judges, lawyers, law firms, parties and courts, we also implemented a question answering interface that offers targeted questions in order to get to the respective answers quicker.",4,4,4,5,4.25,0.25,2,2,3,2,2.25,0.25,2,3,3,2,2.5,0.333333333,Legal Search InformationExtraction,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31.52,-0.114293098,1514.267027,50205.66013,0.030161281,0.5384888
49,"A medical scribe is a clinical professional who charts patient--physician encounters in real time, relieving physicians of most of their administrative burden and substantially increasing productivity and job satisfaction. We present a complete implementation of an automated medical scribe. Our system can serve either as a scalable, standardized, and economical alternative to human scribes; or as an assistive tool for them, providing a first draft of a report along with a convenient means to modify it. This solution is, to our knowledge, the first automated scribe ever presented and relies upon multiple speech and language technologies, including speaker diarization, medical speech recognition, knowledge extraction, and natural language generation.",5,5,4,4,4.5,0.333333333,2,2,4,2,2.5,1,1,1,3,2,1.75,0.916666667,Medical ASR,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26.81,-0.29665947,2861.020505,57694.6102,0.049589043,0.541556673
50,"We present ClaimRank, an online system for detecting check-worthy claims. While originally trained on political debates, the system can work for any kind of text, e.g., interviews or just regular news articles. Its aim is to facilitate manual fact-checking efforts by prioritizing the claims that fact-checkers should consider first. ClaimRank supports both Arabic and English, it is trained on actual annotations from nine reputable fact-checking organizations (PolitiFact, FactCheck, ABC, CNN, NPR, NYT, Chicago Tribune, The Guardian, and Washington Post), and thus it can mimic the claim selection strategies for each and any of them, as well as for the union of them all.",4,3,3,4,3.5,0.333333333,2,2,1,1,1.5,0.333333333,5,3,5,4,4.25,0.916666667,FactCheck News,Arabic English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.25,-0.682477236,1300.677238,44950.35327,0.028935862,0.568626163
51,"The proliferation of fake news and filter bubbles makes it increasingly difficult to form an unbiased, balanced opinion towards a topic. To ameliorate this, we propose 360 degree Stance Detection, a tool that aggregates news with multiple perspectives on a topic. It presents them on a spectrum ranging from support to opposition, enabling the user to base their opinion on multiple pieces of diverse evidence.",5,3,4,5,4.25,0.916666667,2,1,2,2,1.75,0.25,3,2,2,2,2.25,0.25,News Summary MultiPerspect,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.13,-0.157224894,1168.609737,39434.88023,0.029633911,0.535470906
52,"Madly Ambiguous is an open source, online game aimed at teaching audiences of all ages about structural ambiguity and why it's hard for computers. After a brief introduction to structural ambiguity, users are challenged to complete a sentence in a way that tricks the computer into guessing an incorrect interpretation. Behind the scenes are two different NLP-based methods for classifying the user's input, one representative of classic rule-based approaches to disambiguation and the other representative of recent neural network approaches. Qualitative feedback from the system's use in online, classroom, and science museum settings indicates that it is engaging and successful in conveying the intended take home messages. A demo of Madly Ambiguous can be played at http://madlyambiguous.osu.edu.",4,3,4,4,3.75,0.25,2,3,4,2,2.75,0.916666667,2,1,4,1,2,2,Game Education CS,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19.93,-0.006068945,1215.925799,47798.25268,0.025438708,0.55207634
53,"Having an understanding of interpersonal relationships is helpful in many contexts. Our system seeks to assist humans with that task, using textual information (e.g., case notes, speech transcripts, posts, books) as input. Specifically, our system first extracts qualitative and quantitative information elements (which we call signals) about interactions among persons, aggregates those to provide a condensed view of relationships and then enables users to explore all facets of the resulting social (multi-)graph through a visual interface.",2,1,3,4,2.5,1.666666667,3,2,4,3,3,0.666666667,1,3,4,3,2.75,1.583333333,InformationExtraction Relationships,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.09,-0.311071157,878.1311003,47262.38231,0.018579916,0.56318438
54,"This paper presents a web-based information system, RiskFinder, for facilitating the analyses of soft and hard information in financial reports. In particular, the system broadens the analyses from the word level to sentence level, which makes the system useful for practitioner communities and unprecedented among financial academics. The proposed system has four main components: 1) a Form 10-K risk-sentiment dataset, consisting of a set of risk-labeled financial sentences and pre-trained sentence embeddings; 2) metadata, including basic information on each company that published the Form 10-K financial report as well as several relevant financial measures; 3) an interface that highlights risk-related sentences in the financial reports based on the latest sentence embedding techniques; 4) a visualization of financial time-series data for a corresponding company. This paper also conducts some case studies to showcase that the system can be of great help in capturing valuable insight within large amounts of textual information. The system is now online available at https://cfda.csie.org/RiskFinder/.",3,1,3,3,2.5,1,4,2,4,4,3.5,1,5,4,3,3,3.75,0.916666667,Finance Risk Analysis Legal,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,27.22,-0.327102184,3632.009616,41965.58855,0.086547329,0.611040572